The Invincible Iron Man,DVD,13647,2007-01-23
Ultimate Iron Man: The Making of Iron Man 2,DVD,448344,2010-09-28
Iron Man & Hulk: Heroes United,DVD,230896,2013-12-03
Superman: Brainiac Attacks,DVD,19323,2006-06-20
Superman/Shazam!: The Return of Black Adam,DVD,43641,2010-11-09
Superman vs. The Elite,DVD,103269,2012-06-12
Superman: Red Son,DVD,124305,2009-07-30
The Death and Return of Superman,DVD,630656,2019-10-01
Superman: Red Son,DVD,618355,2020-02-24
The Death of Superman,DVD,487670,2018-07-24
Superman Returns,DVD,1452,2006-06-28
Superman/Batman: Public Enemies,DVD,22855,2009-09-29
Superman/Batman: Apocalypse,DVD,45162,2010-09-28
Batman v Superman: Dawn of Justice,DVD,209112,2016-03-23
added by my self,DVD,0,0
I Am Iron Man,DVD,448341,2008-09-30
WEIHaoyu,B-ray,0,0
Iron Man 2,Digital,10138,2010-04-28
Superman,DVD,0,0
I Love Most,DVD,68721,2013-04-18
Star Trek Into Darkness,DVD,54138,2013-05-05
Men in Black 3,DVD,41154,2012-05-23
Night at the Museum: Secret of the Tomb,DVD,181533,2014-12-17
The Avengers,DVD,24428,2012-04-25
You Are the Apple of My Eye,DVD,527280,2018-10-05
Violet Evergarden: Eternity and the Auto Memory Doll,DVD,610892,2019-09-06
